title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Elsa & Fred,Elsa & Fred,"Comedy, Family, Romance",widower,It's never too late.,"Aged, embittered widower, Fred learns to enjoy life thanks to his elderly yet vibrant neighbor, Elsa. Upon learning Elsa is terminally ill, Fred takes her to the Fontana di Trevi in Rome in order to reenact her favorite scene from ‘La Dolce Vita’.",104,07/03/2014,,en,Français,United States of America,"Riverside Entertainment, Rio Negro, Media House Capital, Cuatro Plus Films, Defiant Pictures, Creative Andina",10000000,0,31,6.2
"An Alan Smithee Film: Burn, Hollywood, Burn","An Alan Smithee Film: Burn, Hollywood, Burn",Comedy,alan smithee,,"Filmmaker Alan Smithee finds himself the unwilling puppet of a potentially bad, big budget action film which he proceeds to steal the reels and leave the cast and crew in a frenzy.",86,20/02/1998,,en,"English, Pусский",United States of America,"Hollywood Pictures, Cinergi Pictures Entertainment",10000000,45779,9,3
The Open Road,The Open Road,"Comedy, Drama, Romance",independent film,They've got a long way to go,"Minor leaguer Carlton Garret takes an unexpected road trip to track down his estranged father, legendary baseball player Kyle Garret when Carlton’s mother becomes sick. Once reunited, Carlton struggles to deal with the series of misadventures caused by his father’s antics. Attempts at bonding come to a head as the mismatched duo make their way from Ohio back home to Houston to reunite the family.",90,07/02/2009,http://www.theopenroadmovie.com/,en,"English, Polski",,,0,0,19,4.8
The Good Guy,The Good Guy,"Comedy, Romance",independent film,,"Ambitious young Manhattanite and urban conservationist Beth (Bledel) wants it all: a good job, good friends, and a good guy to share the city with. Of course that last one is often the trickiest of all. Beth falls hard for Tommy (Porter), a sexy, young Wall Street hot-shot. But just as everything seems to be falling into place, complications arise in the form of Tommy's sensitive and handsome co-worker Daniel (Greenberg). Beth soon learns that the game of love in the big city is a lot like Wall Street -- high risk, high reward and everybody has an angle.",90,25/04/2009,,en,Pусский,United States of America,"Belladonna Productions, Whitest Pouring Films",3200000,0,59,5.4
Motherhood,Motherhood,"Comedy, Drama","mother role, blog, woman director",,"Motherhood is a comedy written and directed by Katherine Dieckmann, and stars Uma Thurman, Anthony Edwards and Minnie Driver. Shot on location in New York’s West Village, focuses on the dilemmas of motherhood, such as marriage, work, and self, shown in the trials and tribulations of one pivotal day.",90,21/01/2009,,en,English,United States of America,John Wells Productions,0,0,44,4.7
Free Style,Free Style,"Drama, Family",duringcreditsstinger,It's Time To Soar.,"Cale Bryant is determined to win a coveted spot on the Grand National motocross racing team. With the support of his loving mother, precocious little sister and new girlfriend, Cale proves against all odds that he has the heart, the willpower and the courage never to give up on his dream.",94,24/12/2008,http://www.freestylemovie.com/,en,English,Canada,Rigel Entertainment,0,140987,4,5.8
Strangerland,Strangerland,"Drama, Thriller","australia, missing child, outback, alcoholic drink, troubled marriage, woman director, australian outback, missing daughter",To find the truth they must lose themselves.,"Newly arrived to a remote desert town, Catherine and Matthew are tormented by a suspicion when their two teenage children mysteriously vanish.",111,01/07/2015,,en,English,Australia,Worldview Entertainment,10000000,17472,83,5.1
Janky Promoters,Janky Promoters,Comedy,,,Two shady concert promoters get into hot water when their chance to book a superstar rapper goes awry.,85,16/10/2009,http://www.jankypromoters.com/,en,English,United States of America,"Cube Vision, Dimension Films",10000000,9069,5,7
Blonde Ambition,Blonde Ambition,"Comedy, Romance","stripper, friends, best friend",Small-town girl. Big-time dreams.,A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a mega-conglomerate.,93,21/12/2007,,en,"Norsk, English",United States of America,,10000000,0,29,3.9
The Oxford Murders,The Oxford Murders,"Crime, Mystery, Thriller","mathematician, mathematics, oxford, symbol, triangle, mass child killing",There is no way of finding a single absolute truth,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols",107,18/01/2008,,en,English,"Spain, France, United Kingdom","La Fabrique de Films, Telecinco Cinema",14100000,0,188,5.7
The Reef,The Reef,"Drama, Horror, Thriller","boat, boat accident, underwater, shark, great white shark",Pray That You Drown First,A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.,94,15/05/2010,http://reefmovie.com/,en,"English, Polski",Australia,"Lightning Entertainment, Screen Australia, Screen NSW, ProdigyMovies, Mysterious Light",0,0,130,5.4
Eulogy,Eulogy,"Comedy, Drama","family secrets, dysfunctional family, independent film, death in family, family conflict, exploding boat",,"A black comedy that follows three generations of a family, who come together for the funeral of the patriarch - unveiling a litany of family secrets and covert relationships.",91,15/10/2004,,en,English,"Germany, United Kingdom, United States of America","Myriad Pictures, Artisan Entertainment, Eulogy Productions LLC, Ovation Entertainment",0,0,34,6.4
White Noise 2: The Light,White Noise 2: The Light,"Thriller, Drama, Horror, Fantasy","suicide, murder",Sometimes they don't come back alone.,"A man's family brought back from the verge of death, he then discovers he can identify people who are about to die.",99,05/01/2007,,en,English,"Canada, United States of America","Brightlight Pictures, Gold Circle Films",0,0,80,5.6
Beat the World,Beat the World,"Music, Drama",sporting event,"Feel the beat, live the dream.","Three dance crews – one Latin American, one European and one Canadian – prepare to battle at the International Beat the World competition in Detroit. Along the way, they struggle with gambling debt, bad break-ups and their own egos. In the final showdown to become world champions they find that their lifelong hopes, dreams and even lives, are at stake.",91,10/06/2011,,en,English,Canada,"The Harold Greenberg Fund, Ontario Media Development Corporation (OMDC), Telefilm Canada - Equity Investment Program, Inner City Films",10000000,0,16,4.3
Fifty Dead Men Walking,Fifty Dead Men Walking,"Action, Thriller","ira, slot machine, riot police, woman director",,"Based on Martin McGartland's real life story as a informant for the British Police to spy on the IRA. Taking place from 1987-1991, Martin (Jim Sturgess) works his way up the ranks of the IRA, while keeping his informant with the police Fergis (Ben Kingsley) at bay. In the process he saved numerous lives and is still in hiding from the IRA today.",117,10/09/2008,,en,"English, Magyar","Canada, United Kingdom","Téléfilm Canada, Brightlight Pictures, Canadian Film or Video Production Tax Credit (CPTC), Future Films, Handmade International, Future Films Production Services, Altitude Entertainment, SBK Pictures, Skogland Films, Northern Ireland Screen, Grove Media Finance, Horizon Media Fund",0,0,35,6.1
Jungle Shuffle,Jungle Shuffle,"Family, Animation, Adventure","poacher, jungle",,In this turbulent jungle adventure an outcast coati male has to team up with a quirky spider monkey to save a coati princess from the hands of a human poacher and his mysterious client.,85,07/08/2014,http://www.jungleshuffle.com/,en,English,"Mexico, South Korea","Wonderworld Studios, Animation Picture Company, Avikoo Studios",0,0,1,6.5
Adam Resurrected,Adam Resurrected,"Drama, War","holocaust, nazis, israeli",,"Before the war, in Berlin, Adam was an entertainer- cabaret impresario, magician, musician-loved by all until he finds himself in a concentration camp, confronted by Commandant Klein. Adam survives the camp by becoming the Klein's ""dog"", entertaining him while his wife and daughter are sent off to die. ""Adam Resurrected"" is the story of a man who once was a dog who meets a dog who once was a boy.",106,08/08/2008,,en,English,"Germany, Israel, United States of America","3L Filmproduktion GmbH, Bleiberg Entertainment, Adam Productions, July August Productions",10000000,0,22,6.4
Of Horses and Men,Hross í oss,"Drama, Romance, Comedy","horse, snow storm, icelandic",,A country romance about the human streak in the horse and the horse in the human. Love and death become interlaced and with terrible consequences.The fortunes of the people in the country through the horses' perception.,85,30/08/2013,http://hrosss.is/the-film/,is,"English, Íslenska, Pусский, Español, svenska","Norway, Iceland","Filmhuset Gruppen, Leiknar Myndir",10,11,26,6.9
It's a Wonderful Afterlife,Hai Marjawaan!,"Comedy, Romance","london england, indian lead, murder, matchmaking, ghost, woman director",Finding the right man can be murder,"Indian mother Mrs Sethi's (Azmi) obsession with marrying off her daughter turns murderous. With jokes that routinely miss the mark and cringeworthy slapstick, this black comedy farce shouldn't work. Somehow, though, it does. (c) Empire Magazine",99,07/05/2010,http://www.itsawonderfulafterlife.com/,en,"English, ਪੰਜਾਬੀ",United Kingdom,"Studio 18, Bend It Films, Indian Film Company",0,0,9,4.3
The Devil's Tomb,The Devil's Tomb,"Action, Horror, Thriller, Science Fiction","duct tape gag, bandana, headshot, camoflage uniform, sadistic laughter, flashback, military unit",An evil entombed for 2000 years... until now.,"Captain Mack leads an elite military unit on a search for a missing scientist, and comes face-to-face with an an ancient evil lying beneath the Middle Eastern desert. Evil that is not of this world. Evil that should never be unearthed.",90,26/05/2009,,en,English,United States of America,"Ice Cold Productions, Empyreal Entertainment, Ringleader Studios",10000000,0,53,4
Partition,Partition,"Drama, Foreign, Romance","drama, independent film",,"Determined to leave the ravages of war behind, 38 year old Gian Singh resigns from the British Indian Army to a quiet life. His world is soon thrown in turmoil, when he suddenly finds himself responsible for the life of a 17 year old girl, traumatized by the events that separated her from her family.",116,02/02/2007,,en,English,"Canada, South Africa, United Kingdom","Partition Films%2C Inc., Khussro Films",0,0,6,6.4
Good Intentions,Good Intentions,Comedy,independent film,,"Meet Etta Milford. Loving Wife. Doting Mother. Armed Robber. Etta's husband constantly blows their money on make-shift inventions. When she decides to secretly take ""investment"" matters into her own hands - things quickly go awry! With their savings gone, her husband suspicious, and their children out of control, Etta concocts a scheme to get back their money and save her family.",85,09/03/2010,http://www.goodintentionsmovie.com/,en,English,United States of America,Shadowlight Productions,0,0,6,5
"The Good, The Bad, The Weird","좋은 놈, 나쁜 놈, 이상한 놈","Action, Adventure, Comedy, Western","gunslinger, gun",A Fistful of Fun!,"The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a Bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend.",130,16/07/2008,,ko,한국어/조선말,South Korea,"Cineclick Asia, CJ Entertainment, Grimm Pictures, Barunson",10000000,0,193,7.1
Nurse 3-D,Nurse 3-D,"Horror, Thriller","nurse, sexual murder, revenge, lesbian relationship, dark comedy, hospital",Your pain is her pleasure.,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men.",99,28/09/2013,,en,English,United States of America,"Lions Gate, Lions Gate Entertainments",10,10000000,119,4.9
Gunless,Gunless,"Drama, Action, Comedy, Western","gunslinger, bounty hunter, blacksmith, duel, wild west",Fastest draw in the North... kinda.,"A quiet and peaceful community in the Dominion of Canada is shaken up by the arrival of a wounded and stinky gun-toting American cowboy, simply known as The Montana Kid, wanted for the alleged killing of seven men. A subsequent clarification reveals that his real name is Sean Rafferty, and he admits to killing, not seven, but eleven men. Things only get worse after Sean gets in the bad books of the local militia, and with armed bounty hunters hot on his trail, challenges the local unarmed blacksmith, Jack Smith, to a duel - wild west style! Written by rAjOo",89,30/04/2010,http://gunless.ca/,en,English,Canada,"Rhombus Media, Téléfilm Canada, The Harold Greenberg Fund, Brightlight Pictures, Alliance Films, Astral Media, Corus Entertainment, Gunless Productions",10000000,0,27,6.7
Adventureland,Adventureland,Comedy,"comedy, cheating on partner, amusement park, summer job, carny, marijuana joint, baldness, picking one's nose, reckless driving, reconciliation, pushing a car, marijuana pipe, ticket booth, scene, raised middle finger, job seeking, leaving home, drugged cookie, duringcreditsstinger, young adult, 1980s",Nothing brings people together like a crappy summer job.,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",107,03/04/2009,http://www.adventurelandthefilm.com/,en,English,United States of America,"Miramax Films, Sidney Kimmel Entertainment, This Is That Productions",9500000,17164377,737,6.4
The Lost City,The Lost City,"Drama, Romance","cuba, fidel castro, che guevara",,"In Havana, Cuba in the late 1950's, a wealthy family, one of whose sons is a prominent nightclub owner, is caught in the violent transition from the oppressive regime of Batista to the Marxist government of Fidel Castro. Castro's regime ultimately leads the nightclub owner to flee to New York.",144,03/09/2005,,en,English,United States of America,Lions Gate Films,9600000,4386236,24,6
Next Friday,Next Friday,Comedy,"prison, repayment, gang war, boy gang, revenge, escape from prison, escape, los angeles, gang member, mexican american, cholo",The suburbs make the hood look good.,"Ice Cube returns as Craig Jones, a streetwise man from South Central Los Angeles who has a knack for getting into trouble. This time out, Craig is still trying to outsmart neighborhood bully Debo (Tommy ""Tiny"" Lister Jr.); after Craig gets the better of Debo in a fist fight, Debo is determined to flatten Craig in a rematch. Looking to stay out of Debo's way, Craig's dad decides that it would be a good idea for Craig to hide out with his Uncle Elroy and cousin Day-Day in Rancho Cucamonga... but trouble seems to find him there also.",98,12/01/2000,,en,English,United States of America,New Line Cinema,11000000,59827328,135,6.4
American Heist,American Heist,Action,"brother brother relationship, robbery, bank",Brothers in arms for life.,"Two brothers, both with troubled paths, find themselves in the middle of one last bank job.",94,11/09/2014,,en,English,"Canada, Luxembourg","NGN Productions, Glacier Films, Maple Leaf Finance Primeredian Entertainment",10000000,0,158,4.3
You Only Live Twice,You Only Live Twice,"Action, Thriller, Adventure","london england, japan, england, assassination, helicopter, vulkan, assassin, asia, secret identity, nasa, island, russia, missile, war ship, ninja fighter, secret base, secret mission, secret organization, secret intelligence service, phantom, villain, sumo ringer, volcano, funeral, space, soldier, killer, secret service, blast",You Only Live Twice...and Twice is the only way to live!,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.,117,12/06/1967,http://www.mgm.com/view/movie/2347/You-Only-Live-Twice/,en,"English, 日本語, Pусский",United Kingdom,Eon Productions,9500000,111584787,531,6.5
Plastic,Plastic,"Drama, Action, Comedy, Crime",,HUSTLE. HEIST. REPEAT.,"Sam &amp; Fordy run a credit card fraud scheme, but when they steal from the wrong man, they find themselves threatened by sadistic gangster. They need to raise £5m and pull off a daring diamond heist to clear their debt.",102,30/04/2014,,en,English,United Kingdom,Gateway Films,10,0,86,6.1
Amour,Amour,"Drama, Romance","nurse, music teacher, aging, daughter, music, love, retired, illness, pigeon, stroke, octogenarian, old couple",,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",127,01/07/2012,,fr,Français,"France, Austria, Germany","Les Films du Losange, Wega Film, X-Filme Creative Pool",8900000,19839492,400,7.5
Poltergeist III,Poltergeist III,"Horror, Thriller","chicago, religion and supernatural, supernatural powers, devil, demon",He's found her.,"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appartment in a tall glass building. Will he finally achieve his target and capture Carol Anne again, or will Tangina be able, yet again, to thwart him?",98,10/06/1988,,en,English,United States of America,Metro-Goldwyn-Mayer (MGM),10500000,14144000,123,4.5
Re-Kill,Re-Kill,"Horror, Science Fiction","reality tv, conspiracy, zombie, zombie apocalypse",We are the endangered species.,"Five years after a zombie outbreak, the men and women of R-Division hunt down and destroy the undead. When they see signs of a second outbreak, they fear humanity may not survive.",87,16/10/2015,,en,English,United States of America,"Signature Pictures, After Dark Films, Midsummer Films",9500000,0,34,4.9
"It's a Mad, Mad, Mad, Mad World","It's a Mad, Mad, Mad, Mad World","Action, Adventure, Comedy, Crime","competition, prison, california, chase, humor, national park, treasure hunt, slapstick, money, car chase, desert, race, cash, planes, funny",The biggest entertainment ever to rock the screen with laughter!,"A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.",163,07/11/1963,,en,English,United States of America,"United Artists, Casey Productions",9400000,60000000,140,7
Volver,Volver,"Comedy, Drama, Romance","child abuse, rape, fire, sexual abuse, madrid, secret, return, solidarity, village, superstition, crime, death, ghost, abusive father",Return.,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them.",121,16/03/2006,http://www.volver-lapelicula.com,es,Español,Spain,El Deseo,12899867,85582407,406,7.3
Heavy Metal,Heavy Metal,"Animation, Science Fiction","flying car, taxi, heavy metal, cult favorite, midnight movie, drug use, adult animation",A Step Beyond Science Fiction,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror.",90,07/08/1981,,en,"English, Magyar",Canada,Canadian Film Development Corporation (CFDC),9300000,0,148,6.2
Gentlemen Broncos,Gentlemen Broncos,"Action, Comedy, Thriller","writing, plagiarism, independent film, homeschooling, aftercreditsstinger, duringcreditsstinger","Oinus, Ainous, Anous, Odious.",A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.,89,30/09/2009,http://www.gentlemenbroncos.com/,en,English,United States of America,,10000000,0,51,6.2
Richard III,Richard III,"Drama, War","england, shakespeare, kidnapping, murder, king","I can smile, and murder while I smile",Shakespeare's Play transplanted into a 1930s setting.,104,29/12/1995,,en,English,"United Kingdom, United States of America","British Screen, Mayfair Entertainment International",0,0,49,6.9
Into the Grizzly Maze,Into the Grizzly Maze,"Action, Horror, Thriller","grizzly bear, wilderness, forest, alaska, survival, bear",Hunt or be hunted.,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.,94,27/02/2015,,en,English,"Canada, United States of America","Purple Pictures, Paul Schiff Productions, Indomitable Entertainment",10000000,0,74,5.1
Kites,Kites,"Drama, Action, Romance",,,"In the harsh terrain of the Mexican desert, a mortally wounded man is left for dead in the heat of the desert sun. This is Jay. Once a street smart, carefree young guy. Now, a wanted man. As death looms, the only thing that keeps him alive is the quest to find the love of his life, Natasha. A woman betrothed to another man, but surely destined for Jay. A woman who comes into his life like a bolt of lightning and changes it forever.",131,21/05/2010,http://www.kites-thefilm.com/,en,"English, हिन्दी, Español",India,Bollywood Hollywood Production,0,0,40,6
Melancholia,Melancholia,"Drama, Science Fiction","wedding reception, power outage, destruction of planet, wedding toast",Enjoy it while it lasts,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,136,26/05/2011,,da,English,"Denmark, France, Germany, Sweden","Zentropa Entertainments, Det Danske Filminstitut, Danmarks Radio (DR), Memfis Film, Eurimages, Sveriges Television (SVT), Canal+, CinéCinéma, Slot Machine, Zentropa International Sweden, Zentropa International Köln, Liberator Productions, Swedish Film Institute, Centre National du Cinéma et de L'image Animée (CNC), Film i Väst, Filmstiftung Nordrhein-Westfalen, Legion Entertainment, Edition Video, Nordisk Film Distribution",7400000,21817298,885,7
Red Dog,Red Dog,"Drama, Comedy, Family","1970s, human animal relationship, australia, grief, search, dog, death, mourning, based on true events, australian outback, dog missing",He's Been Everywhere Mate.,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,92,04/08/2011,http://www.reddogmovie.com/,en,"English, Polski",Australia,"Screen Australia, Endymion Films, ScreenWest, Essential Entertainment, Woss Group Film Productions, The South Australian Film Corporation",0,0,83,7.1
Jab Tak Hai Jaan,Jab Tak Hai Jaan,"Drama, Romance","bollywood, fall in love",,"An ex-army man, leading a double life in London, must choose between his wife and muse.  Jab Tak Hai Jaan movie is a love triangle,and also marks the return of Yash Chopra as a director after eight years.  In Jab Tak Hai Jaan, Shahrukh Khan plays the character of Samar who is an angry, unforgiving, with loads of emotional baggage. His role will span two ages, one in his late twenties as a musician based in London and the other at an older age as an introverted, composed, dutiful army officer in Kashmir.  Katrina as Meera play as a seductress, an unattainable beauty. And Anushka as Akira who is 21 year old and works for Discovery Channel and makes documentaries.",176,13/11/2012,,hi,हिन्दी,India,Yash Raj Films,0,0,66,7.3
Alien,Alien,"Horror, Action, Thriller, Science Fiction","android, countdown, space marine, space suit, beheading, dystopia, biology, cowardice, spaceship, space, alien, female protagonist, outer space, parasite, h. r. giger, xenomorph",In space no one can hear you scream.,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",117,25/05/1979,https://www.facebook.com/alienanthology/,en,"English, Español","United States of America, United Kingdom","Twentieth Century Fox Film Corporation, Brandywine Productions",11000000,104931801,4470,7.9
The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,Horror,"gas station, texas, van, gore, midnight movie, surprise ending, shock in the end, leatherface, hitchhiker, slaughterhouse, slasher, chainsaw, family, polaroid, cannibals, proto-slasher",Who will survive and what will be left of them?,Five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals.,83,01/10/1974,,en,English,United States of America,"New Line Cinema, Vortex",85000,30859000,590,7.2
The Runaways,The Runaways,"Drama, Music","women, 1970s, publicity, iron, music, pill, independent film, night club, teenage girl, microphone, rock music, guitarist, photo shoot, teenage sexuality, drummer, recording, grandmother, alcoholic drink, broken glass, talent contest, girl band, hospital bed, female rocker, woman director",It's 1975 and they're about to explode.,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for the Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengalilike influence of impresario Kim Fowley, the band becomes a huge success.",106,19/03/2010,,en,English,United States of America,"River Road Entertainment, Road Rebel, Linson Entertainment",10000000,2995811,254,6.3
Fiddler on the Roof,Fiddler on the Roof,"Drama, Romance","tradition, dream, musical, pogrom, mother daughter relationship, breaking the fourth wall, milkman, russian orthodox church, judaism, tavern, constable, suitor, russian soldier, elopement",To Life!,"This lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the-century Czarist Russia. Nominated for eight Academy Awards.",181,03/11/1971,,en,"English, עִבְרִית, Pусский",United States of America,"United Artists, Cartier Productions, Mirisch Corporation, The",9000000,83304330,134,7.4
Thunderball,Thunderball,"Adventure, Action, Thriller","paris, florida, fighter pilot, sanatorium, secret organization, nuclear missile, coral reef, bahamas, scuba diving, scuba, british secret service",Look up!  Look down!  Look out!,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,130,16/12/1965,http://www.mgm.com/view/movie/2009/Thunderball/,en,"English, Français","Bahamas, France, United Kingdom, United States of America","Eon Productions, Metro-Goldwyn-Mayer (MGM)",5500000,141195658,562,6.5
Detention,Detention,"Horror, Comedy, Science Fiction","high school, murder, slasher, horror spoof",Cancel Your Future,"As a killer named Cinderhella stalks the student body at the high school in Grizzly Lake, a group of co-eds band together to survive while they're all serving detention.",93,16/03/2011,http://detentionmovie.com/,en,English,United States of America,Detention Films,10000000,0,129,5.7
Loose Cannons,Mine vaganti,"Comedy, Drama, Romance",,,"Tommaso is the youngest son of the Cantones, a large, traditional southern Italian family operating a pasta-making business since the 1960s. On a trip home from Rome, where he studies literature and lives with his boyfriend, Tommaso decides to tell his parents the truth about himself. But when he is finally ready to come out in front of the entire family, his older brother Antonio ruins his plans.",110,12/02/2010,http://www.minevaganti.net/,it,Italiano,Italy,Fandango,7000000,8220215,118,7
Set It Off,Set It Off,"Drama, Action, Crime","single parent, bank robber, last chance, los angeles",It's about crime. It's about payback. It's about survival.,"Four black women, all of whom have suffered for lack of money and at the hands of the majority, undertake to rob banks. While initially successful, a policeman who was involved in shooting one of the women's brothers is on their trail. As the women add to the loot, their tastes and interests begin to change and their suspicions of each other increase on the way to a climactic robbery.",118,06/11/1996,http://www.newline.com/properties/setitoff.html,en,English,United States of America,New Line Cinema,9000000,41590886,66,6.9
The Best Man,The Best Man,"Drama, Comedy",,,"Harper, a writer who's about to explode into the mainstream leaves behind his girlfriend Robin and heads to New York City to serve as best man for his friend Lance's wedding. Once there, he reunites with the rest of his college circle.",120,22/10/1999,http://www.universalpictures.com/bestman/,en,English,United States of America,"Universal Pictures, 40 Acres & A Mule Filmworks",9000000,34573780,38,6.8
Child's Play,Child's Play,"Horror, Thriller","gun, birthday, voodoo, toy, stalker, murder, blood, slasher, explosion, killer, doll, evil, toy comes to life, ginger",Chucky is one mean S.O.B.,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed with the soul of a serial killer.",87,08/11/1988,,en,English,United States of America,United Artists,9000000,44196684,581,6.3
Sicko,Sicko,Documentary,"bureaucracy, usa, corruption, cuba, medicine, guantanamo bay, assurance, health care, money, hospital, doctor, illness, existence",This might hurt a little.,"Sicko is a Michael Moore documentary about the corrupt health care system in The United States who's main goal is to make profit even if it means losing peoples lives. ""The more people you deny health insurance the more money we make"" is the business model for health care providers in America.",123,18/05/2007,,en,"English, Français, Pусский, Español",United States of America,The Weinstein Company,9000000,24538513,235,7.3
The Purge: Anarchy,The Purge: Anarchy,"Horror, Thriller","bus, assault rifle, sniper, machete, dystopia, psychopath, sequel, revenge, murder, survival, motorcycle, violence, one day, masked man, apartment, death, survival horror, gatling gun","Welcome to America, where one night a year, all crime Is legal.","Three groups of people are trying to survive Purge Night, when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs.",104,17/07/2014,,en,English,"France, United States of America","Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions, 5150 Action",9000000,108782847,1954,6.6
Down to You,Down to You,"Comedy, Drama, Family, Romance","lovesickness, new love, love of one's life, relocation, man-woman relation, love",A new comedy about giving first love a second chance.,"College coeds in New York City, Al, the son of a celebrity chef, and Imogen, a talented artist, become smitten the second they lay eyes on one another at a bar. However, the road to happiness is not a smooth one. Outside forces, including a predatory porn star who wants to lure Al into her bed, threaten to pull apart the young lovers before their romance has a chance to really flourish.",91,21/01/2000,,en,"English, Français",United States of America,Miramax Films,9000000,0,70,4.9
Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,"Comedy, Adventure","brother brother relationship, amsterdam, trip, road trip, cannabis, marijuana, police chase, smoking marijuana, buddy, stoner, fast food, one night, buddy comedy, munchies, crop circle, rich parents, car siren, blood spurting",Fast Food. High Times.,"Sometimes, it takes a strange night to put everything else into focus. And that's exactly what happens to Harold and his roommate, Kumar, when they set out to get the best stoner fix money can buy: White Castle hamburgers. Both guys are at a crossroads, about to make major decisions that will affect the course of their lives. Yet they arrive at wisdom by accident as they drive around New Jersey in search of fast food.",88,30/05/2004,,en,"English, हिन्दी",United States of America,New Line Cinema,9000000,23936908,693,6.6
The Contender,The Contender,"Drama, Thriller","politics, suspense",Sometimes you can assassinate a leader without firing a shot.,"Political thriller about Laine Hanson's nomination and confirmation as Vice President. An allegation that she was involved in a sexual orgy at the age of 19 is leaked to the press. As pressure mounts on Laine, she's torn between fighting back or sticking to her principles and refusing to comment on the allegations.",126,13/10/2000,,en,English,"Germany, United Kingdom, United States of America","Battleplan Productions, DreamWorks Pictures",9000000,0,60,6.7
Boiler Room,Boiler Room,"Crime, Drama, Thriller","finances, stock broker, investment firm",Welcome to the new American dream.,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",118,18/02/2000,,en,"English, Pусский",United States of America,New Line Cinema,26000000,28780255,201,6.5
Trading Places,Trading Places,Comedy,"christmas tree, from rags to riches, broker, beggar, dollar, wager, fish out of water, millionaire, commodities, investor, big shot, hoodlum, wrongful arrest, santa hat",Some very funny business.,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,116,07/06/1983,,en,"English, Português",United States of America,"Paramount Pictures, Cinema Group Ventures",40600000,90400000,738,7.1
